frame_number,track_id,class_name,confidence,x1,y1,x2,y2,timestamp
3,1,car,0.774725,445,750,477,782,1782022433.769480
3,2,motorcycle,0.667016,19,1099,66,1175,1782022433.769480
4,1,car,0.784108,445,750,477,783,1782022434.701167
4,2,motorcycle,0.481439,7,1110,57,1189,1782022434.701167
5,1,car,0.714463,445,751,477,783,1782022435.442170
5,2,car,0.447999,0,1117,50,1198,1782022435.442170
6,1,car,0.708132,445,752,477,784,1782022436.141997
6,2,car,0.620624,-6,1125,44,1207,1782022436.141997
7,1,car,0.704882,445,753,477,785,1782022436.969521
7,2,car,0.461025,-13,1133,38,1216,1782022436.969521
8,1,car,0.698200,445,753,478,787,1782022437.782080
8,2,car,0.408655,-20,1140,32,1225,1782022437.782080
8,7,car,0.451882,562,867,588,921,1782022437.782080
9,1,car,0.668448,445,754,478,787,1782022438.661521
9,2,car,0.408610,-27,1148,26,1234,1782022438.661521
9,7,car,0.408610,562,868,588,922,1782022438.661521
10,1,car,0.675550,446,754,479,788,1782022439.397270
10,2,truck,0.403923,-34,1156,20,1243,1782022439.397270
10,7,truck,0.403923,563,868,589,923,1782022439.397270
11,1,car,0.660838,446,754,479,788,1782022440.352149
11,2,car,0.660838,-41,1163,13,1252,1782022440.352149
11,7,car,0.660838,563,869,590,924,1782022440.352149
12,1,car,0.654382,446,754,479,789,1782022440.935181
12,2,car,0.654382,-48,1171,7,1261,1782022440.935181
12,7,car,0.654382,563,869,590,925,1782022440.935181
13,1,car,0.645799,446,755,479,789,1782022441.741106
13,2,truck,0.413492,-55,1179,1,1270,1782022441.741106
13,7,truck,0.413492,564,870,591,926,1782022441.741106
14,1,car,0.561179,448,758,479,790,1782022442.205133
14,2,car,0.561179,-62,1186,-4,1279,1782022442.205133
14,7,car,0.561179,564,870,591,927,1782022442.205133
15,1,car,0.586515,448,759,479,790,1782022442.700542
15,2,car,0.586515,-69,1194,-10,1288,1782022442.700542
15,7,car,0.586515,564,871,592,928,1782022442.700542
16,1,car,0.569827,449,760,479,791,1782022443.295447
16,2,truck,0.421343,-76,1201,-17,1297,1782022443.295447
16,7,truck,0.421343,565,871,593,929,1782022443.295447
17,1,car,0.592528,449,760,479,791,1782022443.793578
17,2,truck,0.431707,-83,1209,-23,1306,1782022443.793578
17,7,truck,0.431707,565,872,593,930,1782022443.793578
18,1,car,0.641549,449,761,480,792,1782022444.255932
18,2,truck,0.440621,-90,1217,-29,1315,1782022444.255932
18,7,truck,0.440621,566,872,594,931,1782022444.255932
18,12,truck,0.440621,427,944,540,1114,1782022444.255932
19,1,car,0.644576,448,760,480,793,1782022444.698076
19,2,truck,0.472177,-97,1224,-35,1324,1782022444.698076
19,7,truck,0.472177,566,873,594,932,1782022444.698076
19,12,truck,0.472177,425,947,540,1121,1782022444.698076
20,1,car,0.629455,449,761,481,793,1782022445.194102
20,2,truck,0.508666,-104,1232,-41,1333,1782022445.194102
20,7,car,0.401085,579,893,609,955,1782022445.194102
20,12,truck,0.508666,425,951,542,1129,1782022445.194102
21,1,car,0.610847,449,762,482,794,1782022445.645981
21,2,truck,0.606550,-111,1240,-48,1342,1782022445.645981
21,7,truck,0.606550,580,895,611,958,1782022445.645981
21,12,truck,0.606550,424,956,543,1137,1782022445.645981
22,1,car,0.618256,449,762,482,795,1782022446.160320
22,2,truck,0.673552,-119,1247,-54,1350,1782022446.160320
22,7,car,0.474026,583,898,613,961,1782022446.160320
22,12,truck,0.673552,424,962,545,1146,1782022446.160320
23,1,car,0.702283,449,763,483,796,1782022446.681742
23,2,car,0.407216,-126,1255,-60,1359,1782022446.681742
23,7,car,0.524950,584,898,615,963,1782022446.681742
23,12,car,0.524950,423,966,547,1153,1782022446.681742
24,1,car,0.706939,449,764,483,797,1782022447.296097
24,2,car,0.465269,-133,1263,-66,1368,1782022447.296097
24,7,car,0.537388,586,901,617,965,1782022447.296097
24,12,car,0.537388,422,970,548,1160,1782022447.296097
25,1,car,0.729327,449,765,483,798,1782022448.043075
25,2,car,0.515636,-140,1270,-72,1377,1782022448.043075
25,7,car,0.464237,588,904,618,966,1782022448.043075
25,12,truck,0.489223,426,978,558,1176,1782022448.043075
25,13,car,0.515636,22,787,91,830,1782022448.043075
26,1,car,0.787861,448,765,484,798,1782022448.788178
26,2,car,0.505873,-147,1278,-79,1386,1782022448.788178
26,7,car,0.415319,590,907,620,971,1782022448.788178
26,12,truck,0.458179,426,982,563,1186,1782022448.788178
26,13,car,0.505873,22,787,91,830,1782022448.788178
27,1,car,0.786117,449,765,485,799,1782022449.462140
27,2,car,0.500825,-154,1285,-85,1395,1782022449.462140
27,7,bus,0.469232,591,909,622,974,1782022449.462140
27,12,bus,0.469232,426,986,565,1194,1782022449.462140
27,13,car,0.500825,22,787,91,830,1782022449.462140
28,1,car,0.780529,448,766,486,801,1782022450.211496
28,2,car,0.503220,-161,1293,-91,1404,1782022450.211496
28,7,bus,0.493711,593,911,624,976,1782022450.211496
28,12,bus,0.493711,426,991,568,1202,1782022450.211496
28,13,car,0.503220,22,787,91,830,1782022450.211496
29,1,car,0.794142,448,766,487,802,1782022451.131385
29,2,car,0.510412,-168,1301,-97,1413,1782022451.131385
29,7,truck,0.494631,594,913,626,979,1782022451.131385
29,12,truck,0.494631,419,998,567,1219,1782022451.131385
29,13,car,0.510412,22,787,91,830,1782022451.131385
30,1,car,0.779146,448,767,487,803,1782022451.883997
30,2,car,0.525328,-175,1308,-103,1422,1782022451.883997
30,7,truck,0.516873,596,916,628,982,1782022451.883997
30,12,truck,0.516873,417,1004,569,1230,1782022451.883997
30,13,car,0.525328,22,787,91,830,1782022451.883997
31,1,car,0.795404,447,767,488,805,1782022452.575586
31,2,car,0.511088,-182,1316,-110,1431,1782022452.575586
31,7,truck,0.422212,597,918,629,984,1782022452.575586
31,12,truck,0.422212,418,1011,572,1242,1782022452.575586
31,13,car,0.511088,23,788,91,830,1782022452.575586
31,16,car,0.446154,328,766,372,816,1782022452.575586
32,1,car,0.790376,447,767,488,806,1782022453.143337
32,2,car,0.511701,-189,1324,-116,1440,1782022453.143337
32,7,car,0.790376,599,920,631,987,1782022453.143337
32,12,car,0.790376,417,1016,574,1251,1782022453.143337
32,13,car,0.511701,23,788,91,830,1782022453.143337
32,16,car,0.530156,326,765,373,818,1782022453.143337
33,1,car,0.780987,447,768,488,807,1782022453.712770
33,2,car,0.522852,-196,1331,-122,1449,1782022453.712770
33,7,car,0.780987,600,922,633,990,1782022453.712770
33,12,car,0.780987,416,1021,577,1261,1782022453.712770
33,13,car,0.522852,23,788,91,830,1782022453.712770
33,16,car,0.467278,324,766,371,819,1782022453.712770
34,1,car,0.730494,448,769,488,807,1782022454.642410
34,2,car,0.521510,-203,1339,-128,1458,1782022454.642410
34,7,car,0.730494,602,924,635,992,1782022454.642410
34,12,truck,0.453301,413,1031,576,1277,1782022454.642410
34,13,car,0.521510,23,788,91,830,1782022454.642410
34,16,car,0.499592,322,765,371,821,1782022454.642410
35,1,car,0.693938,448,770,488,808,1782022455.445913
35,7,car,0.693938,604,927,636,995,1782022455.445913
35,12,car,0.693938,412,1036,578,1287,1782022455.445913
35,13,car,0.503323,23,788,91,830,1782022455.445913
35,16,car,0.523481,321,767,369,822,1782022455.445913
36,1,car,0.674719,448,771,488,809,1782022456.254379
36,7,car,0.674719,605,929,638,998,1782022456.254379
36,12,truck,0.479717,416,1043,574,1282,1782022456.254379
36,13,car,0.477867,23,788,91,830,1782022456.254379
36,16,car,0.437361,321,768,368,823,1782022456.254379
36,17,person,0.508625,100,810,121,853,1782022456.254379
37,1,car,0.698765,449,771,489,809,1782022456.801959
37,7,car,0.698765,607,931,640,1000,1782022456.801959
37,12,car,0.698765,416,1049,576,1291,1782022456.801959
37,13,car,0.480262,23,788,92,830,1782022456.801959
37,16,car,0.516036,319,769,368,824,1782022456.801959
37,17,person,0.503471,99,809,121,855,1782022456.801959
38,1,car,0.747312,449,772,489,810,1782022457.368709
38,7,car,0.747312,608,933,642,1003,1782022457.368709
38,12,car,0.747312,415,1054,577,1300,1782022457.368709
38,13,car,0.492278,23,788,92,830,1782022457.368709
38,16,car,0.518073,319,769,368,826,1782022457.368709
38,17,person,0.459758,98,808,120,856,1782022457.368709
39,1,car,0.749532,450,773,489,810,1782022457.813464
39,7,car,0.749532,610,936,644,1006,1782022457.813464
39,12,car,0.749532,415,1060,579,1308,1782022457.813464
39,13,car,0.460228,24,788,92,830,1782022457.813464
39,16,car,0.536894,318,770,368,827,1782022457.813464
39,17,car,0.460228,97,808,120,857,1782022457.813464
40,1,car,0.732137,450,773,490,811,1782022458.261971
40,7,car,0.732137,611,938,645,1008,1782022458.261971
40,12,car,0.732137,414,1065,581,1317,1782022458.261971
40,13,car,0.466020,24,788,92,829,1782022458.261971
40,16,car,0.499970,318,771,368,828,1782022458.261971
40,17,car,0.466020,96,807,120,858,1782022458.261971
41,1,car,0.775594,451,773,491,812,1782022458.824497
41,7,car,0.775594,613,940,647,1011,1782022458.824497
41,12,bus,0.413993,424,1072,568,1284,1782022458.824497
41,13,car,0.446621,23,788,92,829,1782022458.824497
41,16,car,0.531976,318,772,368,829,1782022458.824497
41,17,car,0.446621,95,806,120,859,1782022458.824497
42,1,car,0.765567,451,774,492,813,1782022459.560858
42,7,bus,0.442955,614,942,649,1014,1782022459.560858
42,12,bus,0.442955,425,1078,568,1289,1782022459.560858
42,13,car,0.454797,23,787,92,829,1782022459.560858
42,16,car,0.471764,317,772,367,830,1782022459.560858
42,17,car,0.454797,94,805,119,860,1782022459.560858
43,1,car,0.820758,451,775,492,814,1782022460.295838
43,7,bus,0.505595,616,944,651,1017,1782022460.295838
43,12,bus,0.505595,425,1084,569,1294,1782022460.295838
43,13,car,0.457846,23,787,92,829,1782022460.295838
43,16,car,0.481773,317,773,368,832,1782022460.295838
43,17,car,0.457846,93,804,119,861,1782022460.295838
44,1,car,0.783472,451,776,492,815,1782022460.987867
44,7,bus,0.446824,618,947,652,1019,1782022460.987867
44,12,bus,0.446824,426,1089,569,1299,1782022460.987867
44,13,car,0.474622,23,788,92,829,1782022460.987867
44,16,car,0.590598,316,773,367,833,1782022460.987867
44,17,car,0.474622,92,803,119,862,1782022460.987867
44,18,bus,0.446824,384,832,455,936,1782022460.987867
